Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.522260e-02,4.101644e+02,1.999252e-01,7.652867e-01,5.194282e-22,4.735942e-08,2.228484e-01,1.752734e-12,5.938929e-07,1.887707e-07,1.491504e-07,4.125603e-07,1.000000e-60,3.868763e-05,8.765131e-29,2.772523e-18,6.030333e-30,2.622374e-24,4.393939e-17,8.035280e-22,6.469545e-03,4.609618e-28,4.399881e-25,6.855015e-22,8.694845e-33,1.451458e-23,7.004480e-28,2.069414e-34,2.484456e-22,3.878636e-28,1.265947e-35,1.211334e-33,5.344272e-03,3.229016e-31,2.452870e-22,5.866690e-19,8.103611e-06,6.382439e-08,2.823201e-06,6.856040e-17,3.859662e-11,2.677932e-15,1.855524e-19,7.499499e-25,3.706304e-16,2.418726e-12,1.022731e-13,4.827592e-12,2.255641e-17,1.000000e-60,4.734338e-15,2.496022e-14,6.515562e-29,1.460815e-29,2.388994e-48,8.499640e-48
2.994666e-02,5.196821e+02,6.278365e-01,7.635154e-01,1.021845e-21,1.721584e-07,2.131433e-01,2.150408e-11,1.508018e-06,3.717090e-07,4.919111e-07,7.396455e-07,1.661744e-31,7.628715e-05,1.271960e-27,6.131247e-17,1.018101e-28,1.889928e-23,1.072164e-16,1.582450e-21,1.272693e-02,6.116637e-27,3.136834e-24,1.366526e-21,1.740097e-30,2.858209e-23,5.047868e-27,8.464925e-33,4.997235e-22,7.656479e-28,1.676356e-34,2.109205e-33,1.051332e-02,9.009013e-32,4.825488e-22,5.428091e-18,1.617874e-05,1.255585e-07,5.190690e-06,1.161427e-15,8.618110e-11,5.736742e-15,1.342159e-17,1.495804e-22,3.230517e-15,4.758247e-12,2.011968e-13,9.498220e-12,3.996660e-17,8.915663e-33,9.313641e-15,4.947152e-14,1.004189e-27,3.588049e-29,4.699018e-48,1.025181e-47
4.367448e-02,6.188976e+02,1.165187e+00,7.618640e-01,1.490268e-21,4.226551e-07,2.040945e-01,1.189649e-10,2.847215e-06,5.436185e-07,1.063353e-06,1.004230e-06,2.526950e-33,1.116139e-04,6.963764e-27,4.584510e-16,5.952371e-28,6.307588e-23,1.999474e-16,2.314845e-21,1.856051e-02,5.846946e-26,9.664163e-24,2.007878e-21,4.526537e-30,4.181089e-23,1.806647e-26,8.900501e-32,7.550913e-22,1.125279e-27,8.781730e-34,3.016559e-33,1.533230e-02,2.122453e-34,7.038006e-22,2.257188e-17,2.399373e-05,1.831156e-07,6.959162e-06,6.180851e-15,1.415978e-10,9.142614e-15,2.102955e-16,3.742209e-21,1.300391e-14,6.939560e-12,2.934286e-13,1.385741e-11,4.288955e-17,3.082108e-32,1.358327e-14,7.309092e-14,5.725515e-27,6.462304e-29,7.000776e-48,9.803998e-48
5.619172e-02,7.067475e+02,1.744033e+00,7.603583e-01,1.917383e-21,8.553323e-07,1.958434e-01,4.474774e-10,4.770631e-06,7.035033e-07,1.853343e-06,1.219382e-06,1.053683e-31,1.441821e-04,2.544149e-26,2.093626e-15,1.807461e-27,1.226692e-22,3.350232e-16,2.996506e-21,2.387909e-02,3.707497e-25,1.909918e-23,2.590975e-21,1.000000e-60,5.416449e-23,4.815698e-26,4.795877e-31,1.019434e-21,1.468275e-27,2.927487e-33,3.962860e-33,1.972587e-02,1.227211e-33,9.056769e-22,6.746418e-17,3.142314e-05,2.355967e-07,8.106198e-06,1.935512e-14,2.094918e-10,1.284303e-14,1.535589e-15,3.391690e-20,3.408483e-14,8.928873e-12,3.775341e-13,1.784298e-11,3.113934e-17,2.682284e-32,1.747708e-14,9.581835e-14,2.034768e-26,1.018545e-28,9.369870e-48,7.319608e-48
6.764561e-02,7.849064e+02,2.327137e+00,7.589804e-01,2.308214e-21,1.547887e-06,1.882928e-01,1.337077e-09,7.532469e-06,8.555287e-07,2.823388e-06,1.394348e-06,5.073832e-31,1.744306e-04,1.288461e-25,7.213984e-15,4.112818e-27,1.852585e-22,5.303437e-16,3.645265e-21,2.874516e-02,1.732173e-24,2.990925e-23,3.146185e-21,3.338555e-30,6.604960e-23,1.106257e-25,1.775575e-30,1.304269e-21,1.808070e-27,7.633340e-33,5.009559e-33,2.374556e-02,1.270013e-33,1.090739e-21,1.736120e-16,3.852091e-05,2.836179e-07,8.696588e-06,4.619941e-14,3.002852e-10,1.690188e-14,7.240446e-15,1.769247e-19,6.903222e-14,1.075026e-11,4.545193e-13,2.150922e-11,1.965757e-17,5.360008e-32,2.104210e-14,1.182053e-13,5.376630e-26,1.494595e-28,1.196465e-47,3.813319e-48
7.834996e-02,8.560645e+02,2.918481e+00,7.576927e-01,2.673470e-21,2.623634e-06,1.812356e-01,3.432367e-09,1.155190e-05,1.007107e-06,3.920656e-06,1.533304e-06,3.550306e-30,2.032681e-04,8.414168e-25,2.076883e-14,9.548233e-27,2.686395e-22,8.111149e-16,4.293319e-21,3.329190e-02,6.589595e-24,4.323500e-23,3.738739e-21,3.662142e-30,7.817682e-23,2.361652e-25,5.274845e-30,1.629069e-21,2.167696e-27,1.727200e-32,6.253316e-33,2.750130e-02,4.925403e-31,1.264441e-21,4.140461e-16,4.544014e-05,3.284906e-07,8.809908e-06,9.422797e-14,4.245164e-10,2.154708e-14,2.602268e-14,6.735164e-19,1.193991e-13,1.245505e-11,5.265359e-13,2.496574e-11,1.413667e-17,2.658239e-31,2.437862e-14,1.411482e-13,1.116121e-25,2.103180e-28,1.505186e-47,1.651643e-48
8.862193e-02,9.227177e+02,3.510565e+00,7.564571e-01,3.023972e-21,4.277122e-06,1.744625e-01,7.892874e-09,1.749724e-05,1.167935e-06,5.075072e-06,1.633027e-06,4.078444e-29,2.316932e-04,4.819015e-24,5.270188e-14,2.803688e-26,4.043465e-22,1.209646e-15,4.983866e-21,3.765380e-02,2.161818e-23,6.164876e-23,4.458472e-21,1.441092e-29,9.151214e-23,4.907229e-25,1.364783e-29,2.023964e-21,2.580914e-27,3.546308e-32,7.833130e-33,3.110406e-02,6.617802e-30,1.432735e-21,9.451843e-16,5.234439e-05,3.715343e-07,8.513051e-06,1.731944e-13,5.900128e-10,2.718100e-14,7.787331e-14,2.127311e-18,1.870468e-13,1.409664e-11,5.958206e-13,2.832763e-11,1.196183e-17,2.585196e-30,2.759072e-14,1.657577e-13,1.833718e-25,2.878164e-28,1.906888e-47,8.440231e-49
9.870447e-02,9.867004e+02,4.115492e+00,7.552442e-01,3.368010e-21,6.800358e-06,1.678130e-01,1.666806e-08,2.639540e-05,1.350835e-06,6.196361e-06,1.681113e-06,3.938542e-28,2.606421e-04,2.268805e-23,1.215848e-13,1.069180e-25,6.485466e-22,1.762053e-15,5.776746e-21,4.193362e-02,6.304604e-23,8.800005e-23,5.438117e-21,4.999964e-29,1.073833e-22,1.025708e-24,3.218051e-29,2.536844e-21,3.100187e-27,6.734994e-32,9.941566e-33,3.463852e-02,8.026415e-29,1.601308e-21,2.105461e-15,5.935336e-05,4.137437e-07,7.865821e-06,2.957482e-13,8.008683e-10,3.442387e-14,2.040168e-13,5.980290e-18,2.749502e-13,1.571963e-11,6.642501e-13,3.169425e-11,1.112904e-17,2.031639e-29,3.076483e-14,1.933969e-13,2.441355e-25,3.862566e-28,2.478759e-47,5.769211e-49
1.087356e-01,1.049065e+03,4.736686e+00,7.540375e-01,3.710294e-21,1.058811e-05,1.611954e-01,3.282294e-08,3.969691e-05,1.573766e-06,7.182745e-06,1.657858e-06,3.085524e-27,2.909588e-04,9.007715e-23,2.597492e-13,4.486257e-25,1.126802e-21,2.500407e-15,6.762326e-21,4.618924e-02,1.658326e-22,1.253692e-22,6.885559e-21,1.601112e-28,1.276966e-22,2.207930e-24,7.112617e-29,3.245931e-21,3.812934e-27,1.195082e-31,1.283449e-32,3.815226e-02,7.925353e-28,1.775976e-21,4.639820e-15,6.650771e-05,4.556464e-07,6.944174e-06,4.797081e-13,1.055870e-09,4.418861e-14,4.817759e-13,1.550145e-17,3.872230e-13,1.735769e-11,7.332655e-13,3.514381e-11,1.091042e-17,1.334983e-28,3.396425e-14,2.258126e-13,2.820383e-25,5.143314e-28,3.365749e-47,5.258081e-49
