Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.073653e-02,3.696803e+02,2.820604e+00,7.658287e-01,1.000000e-60,2.408895e-06,2.261806e-01,2.033661e-10,2.980125e-06,6.090617e-06,5.711834e-06,1.916557e-06,3.590154e-23,6.103688e-04,4.708519e-16,1.035748e-14,1.508885e-17,1.346849e-12,2.332299e-10,4.352182e-09,3.646760e-03,3.922773e-16,3.369422e-12,1.363626e-10,1.979166e-25,9.419428e-12,2.354231e-15,9.387933e-19,1.924891e-10,1.131267e-11,2.363593e-16,2.355627e-14,3.712314e-03,6.114208e-30,2.933123e-13,6.790282e-14,1.566809e-06,1.710262e-08,5.020415e-07,1.141347e-13,2.235654e-10,1.094018e-12,8.451777e-18,6.927998e-21,3.345469e-11,2.979331e-08,3.246783e-11,5.690256e-09,2.461550e-11,3.018511e-23,5.876658e-11,2.509713e-11,1.271196e-14,5.393597e-13,3.319692e-19,1.940584e-21
2.119878e-02,4.422010e+02,9.098471e+00,7.645725e-01,1.000000e-60,5.993912e-06,2.196475e-01,1.804595e-09,7.473040e-06,1.202680e-05,1.297914e-05,3.585422e-06,2.272679e-21,1.205636e-03,3.183616e-15,1.163025e-13,1.420059e-16,5.110273e-12,4.753995e-10,8.594202e-09,7.199588e-03,2.020740e-15,8.943061e-12,2.683361e-10,3.881332e-23,1.862040e-11,1.569732e-14,1.214345e-17,3.820425e-10,2.242825e-11,1.152722e-15,4.660295e-14,7.328569e-03,3.059561e-27,5.791754e-13,1.697330e-13,3.169885e-06,3.376689e-08,8.741783e-07,7.244420e-13,5.079130e-10,2.632445e-12,3.532395e-16,8.334645e-19,7.831505e-11,5.882587e-08,6.410631e-11,1.123527e-08,4.830199e-11,1.214322e-21,1.160325e-10,4.960912e-11,1.240194e-13,1.123462e-12,6.570596e-19,5.539267e-21
3.117371e-02,5.100837e+02,1.736396e+01,7.633748e-01,1.000000e-60,1.105408e-05,2.134155e-01,8.265476e-09,1.374763e-05,1.769020e-05,2.163560e-05,5.010182e-06,4.011444e-20,1.773909e-03,1.178824e-14,6.504060e-13,6.336874e-16,1.286780e-11,7.265831e-10,1.264187e-08,1.058578e-02,6.111352e-15,1.588073e-11,3.919735e-10,1.343452e-21,2.744961e-11,5.286353e-14,6.819439e-17,5.664206e-10,3.318624e-11,3.595109e-15,6.876881e-14,1.077487e-02,2.329444e-25,8.519067e-13,3.351136e-13,4.769396e-06,4.965347e-08,1.119832e-06,2.388365e-12,8.595608e-10,4.737919e-12,4.557620e-15,1.953375e-17,1.365298e-10,8.650733e-08,9.427196e-11,1.652247e-08,6.998542e-11,1.450948e-20,1.706358e-10,7.308851e-11,4.888411e-13,1.746432e-12,9.702541e-19,1.117736e-20
4.066369e-02,5.734186e+02,2.681920e+01,7.622353e-01,1.000000e-60,1.794853e-05,2.074829e-01,2.812050e-08,2.214183e-05,2.308649e-05,3.141847e-05,6.222009e-06,3.938406e-19,2.315536e-03,3.307466e-14,2.591704e-12,1.983246e-15,2.614565e-11,9.904828e-10,1.650005e-08,1.380580e-02,1.487471e-14,2.344940e-11,5.060641e-10,1.834651e-20,3.596239e-11,1.322100e-13,2.569578e-16,7.474744e-10,4.366745e-11,8.776166e-15,9.018081e-14,1.405179e-02,7.520435e-24,1.111888e-12,6.176159e-13,6.355619e-06,6.476617e-08,1.254533e-06,5.858936e-12,1.282379e-09,7.569114e-12,3.231821e-14,1.935231e-16,2.102968e-10,1.128459e-07,1.229751e-10,2.155371e-08,8.880490e-11,1.021482e-19,2.226030e-10,9.560323e-11,1.266643e-12,2.412854e-12,1.273648e-18,1.912911e-20
4.981298e-02,6.332473e+02,3.720198e+01,7.611367e-01,1.000000e-60,2.723896e-05,2.017597e-01,7.974923e-08,3.320482e-05,2.830389e-05,4.198193e-05,7.257496e-06,2.726324e-18,2.838997e-03,7.892667e-14,8.367723e-12,5.070103e-15,4.663461e-11,1.274942e-09,2.023363e-08,1.690821e-02,3.223616e-14,3.088287e-11,6.111929e-10,1.442019e-19,4.436823e-11,2.820656e-13,7.705130e-16,9.302164e-10,5.413494e-11,1.805010e-14,1.112940e-13,1.720884e-02,1.447781e-22,1.363749e-12,1.113242e-12,7.942898e-06,7.933463e-08,1.295301e-06,1.216426e-11,1.779539e-09,1.138053e-11,1.590107e-13,1.155761e-15,3.030707e-10,1.382449e-07,1.506624e-10,2.640653e-08,1.038566e-10,5.301905e-19,2.727607e-10,1.175747e-10,2.569151e-12,3.139309e-12,1.574461e-18,2.966591e-20
5.870672e-02,6.901843e+02,4.820974e+01,7.600688e-01,1.000000e-60,3.964587e-05,1.961926e-01,1.954975e-07,4.758383e-05,3.339882e-05,5.268786e-05,8.134040e-06,1.458162e-17,3.349473e-03,1.686545e-13,2.290179e-11,1.136055e-14,7.617097e-11,1.587436e-09,2.388698e-08,1.992140e-02,6.477292e-14,3.728002e-11,7.072071e-10,7.878438e-19,5.286610e-11,5.457844e-13,1.984822e-15,1.119427e-09,6.483346e-11,3.233387e-14,1.323897e-13,2.027494e-02,1.878758e-21,1.611208e-12,1.982767e-12,9.535819e-06,9.349397e-08,1.258131e-06,2.262035e-11,2.342812e-09,1.650454e-11,5.989655e-13,4.956791e-15,4.186277e-10,1.629459e-07,1.776193e-10,3.112776e-08,1.138702e-10,2.203052e-18,3.216599e-10,1.393129e-10,4.403703e-12,3.942597e-12,1.879009e-18,4.284271e-20
6.733505e-02,7.442274e+02,5.968881e+01,7.590328e-01,1.000000e-60,5.594402e-05,1.907882e-01,4.205320e-07,6.584458e-05,3.837423e-05,6.263931e-05,8.852786e-06,6.272061e-17,3.846774e-03,3.304500e-13,5.418425e-11,2.307005e-14,1.164959e-10,1.933106e-09,2.746983e-08,2.284143e-02,1.225180e-13,4.182203e-11,7.929971e-10,3.300048e-18,6.161995e-11,9.851217e-13,4.549260e-15,1.318883e-09,7.595215e-11,5.148258e-14,1.533702e-13,2.324615e-02,1.732406e-20,1.856500e-12,3.471379e-12,1.112020e-05,1.072275e-07,1.162113e-06,3.869101e-11,2.945963e-09,2.329891e-11,1.814167e-12,1.670852e-14,5.600908e-10,1.869291e-07,2.038808e-10,3.571476e-08,1.177479e-10,7.591168e-18,3.694135e-10,1.609278e-10,6.642551e-12,4.834655e-12,2.191602e-18,5.819195e-20
7.567884e-02,7.953374e+02,7.142847e+01,7.580309e-01,1.000000e-60,7.693909e-05,1.855584e-01,8.065089e-07,8.843063e-05,4.322707e-05,7.101276e-05,9.412550e-06,2.238057e-16,4.330201e-03,6.025313e-13,1.129208e-10,4.331205e-14,1.692947e-10,2.316566e-09,3.099247e-08,2.566120e-02,2.198059e-13,4.417818e-11,8.677369e-10,1.128314e-17,7.084177e-11,1.684890e-12,9.489309e-15,1.532825e-09,8.772113e-11,7.436557e-14,1.738512e-13,2.611531e-02,1.187826e-19,2.103093e-12,5.924191e-12,1.267813e-05,1.205026e-07,1.029557e-06,6.185321e-11,3.552356e-09,3.211639e-11,4.590163e-12,4.685502e-14,7.302888e-10,2.101524e-07,2.295127e-10,4.016105e-08,1.154454e-10,2.228589e-17,4.161936e-10,1.825261e-10,9.076885e-12,5.828035e-12,2.517532e-18,7.473803e-20
8.377483e-02,8.438269e+02,8.330814e+01,7.570588e-01,1.000000e-60,1.035839e-04,1.804805e-01,1.407675e-06,1.158221e-04,4.798666e-05,7.732780e-05,9.815012e-06,6.862211e-16,4.802321e-03,1.037333e-12,2.121061e-10,7.648932e-14,2.367397e-10,2.745264e-09,3.449412e-08,2.839243e-02,3.770507e-13,4.460158e-11,9.315629e-10,3.311816e-17,8.087975e-11,2.765559e-12,1.840830e-14,1.767694e-09,1.005176e-10,9.962820e-14,1.933374e-13,2.889444e-02,6.395312e-19,2.358015e-12,9.819258e-12,1.420264e-05,1.333742e-07,8.810831e-07,9.370998e-11,4.128882e-09,4.333716e-11,1.007161e-11,1.142784e-13,9.332654e-10,2.327333e-07,2.548345e-10,4.449145e-08,1.081316e-10,5.746818e-17,4.626182e-10,2.043806e-10,1.151533e-11,6.945648e-12,2.866406e-18,9.149444e-20
