Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.641351e-02,4.194831e+02,7.583756e-02,7.651429e-01,4.371960e-22,1.260985e-08,2.220434e-01,2.834081e-13,3.718551e-07,3.506598e-08,2.296953e-08,2.788611e-07,1.000000e-60,8.935049e-06,1.814339e-31,1.027594e-19,1.344138e-32,5.901182e-27,3.331292e-19,4.836996e-24,7.027177e-03,1.214799e-30,7.122974e-28,2.592360e-24,6.987782e-34,5.397289e-27,8.694282e-32,1.320994e-38,4.759424e-26,4.139514e-33,1.530049e-38,8.834980e-35,5.764142e-03,2.147629e-32,2.130191e-25,1.348939e-20,1.018113e-05,6.982940e-08,2.405822e-06,3.676858e-18,8.094962e-12,6.668382e-16,3.623770e-20,4.916422e-27,2.530838e-18,1.717153e-14,3.315235e-15,1.287723e-13,4.094221e-20,5.925416e-33,1.278097e-16,5.995211e-15,1.905199e-33,1.828993e-34,1.795630e-51,4.333507e-49
3.156312e-02,5.321690e+02,2.285056e-01,7.633200e-01,8.407265e-22,4.908664e-08,2.120394e-01,3.549607e-12,9.462606e-07,6.756105e-08,8.563049e-08,4.688179e-07,1.000000e-60,1.725653e-05,2.065467e-30,2.264637e-18,1.698126e-31,4.543488e-26,9.192921e-19,9.322130e-24,1.351312e-02,1.082157e-29,4.626417e-27,5.167962e-24,2.833976e-32,1.039887e-26,6.225508e-31,5.349674e-37,9.530209e-26,7.986955e-33,4.078734e-38,1.140178e-34,1.108433e-02,1.000000e-60,4.096381e-25,1.388599e-19,1.970993e-05,1.342817e-07,4.424540e-06,5.730831e-17,1.752912e-11,1.343609e-15,2.583698e-18,8.992622e-25,2.685040e-17,3.302085e-14,6.375187e-15,2.476897e-13,6.522548e-20,1.113183e-32,2.457779e-16,1.169332e-14,2.979628e-32,5.054277e-34,2.911432e-51,7.697955e-49
4.521388e-02,6.307527e+02,4.111278e-01,7.616775e-01,1.204333e-21,1.236199e-07,2.030250e-01,1.901517e-11,1.742594e-06,9.730717e-08,2.042727e-07,6.049545e-07,1.000000e-60,2.486184e-05,9.295857e-30,1.616832e-17,7.927117e-31,1.398122e-25,1.940620e-18,1.343364e-23,1.935720e-02,9.688677e-29,1.385061e-26,7.692380e-24,1.107370e-31,1.492424e-26,2.171057e-30,5.095192e-36,1.451909e-25,1.153752e-32,7.147783e-38,1.113877e-34,1.587800e-02,4.068069e-34,5.868207e-25,5.490966e-19,2.845879e-05,1.923573e-07,5.993913e-06,2.758381e-16,2.725284e-11,1.982191e-15,3.719281e-17,1.937993e-23,1.232969e-16,4.730263e-14,9.132418e-15,3.550703e-13,5.281660e-20,1.501225e-32,3.520767e-16,1.714829e-14,1.675754e-31,1.004663e-33,3.239468e-51,8.175472e-49
5.785096e-02,7.193529e+02,6.081716e-01,7.601570e-01,1.540939e-21,2.561054e-07,1.946799e-01,7.093148e-11,2.865534e-06,1.258942e-07,3.940829e-07,7.089142e-07,3.145621e-33,3.204240e-05,5.449015e-29,7.309901e-17,2.553118e-30,2.642493e-25,3.721258e-18,1.739337e-23,2.476709e-02,6.704424e-28,2.899183e-26,1.032935e-23,4.018650e-31,1.915020e-26,5.825374e-30,2.725002e-35,2.017117e-25,1.500463e-32,1.086201e-37,9.723380e-35,2.031548e-02,1.000000e-60,7.508970e-25,1.652742e-18,3.674841e-05,2.461200e-07,7.154774e-06,8.512834e-16,4.003918e-11,2.579878e-15,2.639392e-16,1.647213e-22,3.704704e-16,6.052643e-14,1.168501e-14,4.549971e-13,2.683145e-20,6.111262e-33,4.504903e-16,2.267400e-14,6.149565e-31,1.753520e-33,2.890253e-51,4.965062e-49
6.997874e-02,8.019492e+02,8.182803e-01,7.586977e-01,1.863979e-21,4.808238e-07,1.866710e-01,2.199222e-10,4.539035e-06,1.553699e-07,6.682517e-07,7.894656e-07,1.712288e-31,3.912147e-05,5.363865e-28,2.634181e-16,6.299471e-30,4.572921e-25,6.858319e-18,2.148806e-23,2.995865e-02,3.763451e-27,5.076961e-26,1.345579e-23,3.082518e-32,2.321666e-26,1.427140e-29,1.013281e-34,2.713821e-25,1.867773e-32,1.305760e-37,6.520996e-35,2.457377e-02,3.669660e-32,9.084978e-25,4.863736e-18,4.492818e-05,2.977141e-07,7.925066e-06,2.199489e-15,6.073037e-11,3.172043e-15,1.298780e-15,8.807663e-22,8.657707e-16,7.322602e-14,1.413514e-14,5.518829e-13,1.489923e-20,1.797630e-32,5.449634e-16,2.862223e-14,1.780361e-30,2.881631e-33,2.173186e-51,1.429682e-49
8.189347e-02,8.808477e+02,1.038833e+00,7.572641e-01,2.181344e-21,8.555124e-07,1.788024e-01,6.053982e-10,7.161819e-06,1.881332e-07,1.026512e-06,8.451197e-07,3.005033e-31,4.634123e-05,4.996912e-27,8.250284e-16,2.412923e-29,8.427573e-25,1.235140e-17,2.605910e-23,3.505860e-02,1.826488e-26,8.452208e-26,1.769441e-23,1.000000e-60,2.847994e-26,3.669621e-29,3.276854e-34,3.639464e-25,2.293019e-32,1.619958e-37,4.279955e-35,2.875669e-02,1.628494e-31,1.063681e-24,1.507631e-17,5.322549e-05,3.483943e-07,8.281278e-06,5.117226e-15,9.430510e-11,3.833154e-15,5.089233e-15,3.637168e-21,1.708596e-15,8.572735e-14,1.654358e-14,6.487765e-13,1.093245e-20,3.343741e-32,6.378470e-16,3.532561e-14,4.095174e-30,4.560692e-33,1.482633e-51,4.248099e-50
9.373583e-02,9.572120e+02,1.271134e+00,7.558391e-01,2.496781e-21,1.472950e-06,1.709810e-01,1.510874e-09,1.140343e-05,2.277283e-07,1.441878e-06,8.647305e-07,4.843838e-31,5.390961e-05,3.528587e-26,2.315893e-15,1.372067e-28,1.738430e-24,2.166798e-17,3.162869e-23,4.012695e-02,7.777547e-26,1.412766e-25,2.414145e-23,3.824950e-32,3.473275e-26,1.219182e-28,1.035120e-33,4.957961e-25,2.834500e-32,2.067216e-37,2.614915e-35,3.291326e-02,6.516069e-33,1.218800e-24,4.922831e-17,6.176163e-05,3.987415e-07,8.191860e-06,1.087082e-14,1.447295e-10,4.689762e-15,1.681486e-14,1.280401e-20,2.987963e-15,9.821590e-14,1.894152e-14,7.478696e-13,9.496391e-21,5.189548e-33,7.303417e-16,4.317494e-14,6.968725e-30,6.927712e-33,9.358697e-52,1.883435e-50
1.055651e-01,1.031661e+03,1.513352e+00,7.544158e-01,2.815014e-21,2.470835e-06,1.631672e-01,3.446889e-09,1.830830e-05,2.801603e-07,1.859779e-06,8.295934e-07,2.083102e-30,6.207299e-05,1.940322e-25,5.906547e-15,8.658219e-28,4.109007e-24,3.668769e-17,3.914366e-23,4.518876e-02,2.895909e-25,2.376137e-25,3.484527e-23,1.988765e-30,4.286043e-26,5.588405e-28,2.531671e-33,6.964600e-25,3.592654e-32,2.682183e-37,1.410317e-35,3.706375e-02,4.065897e-31,1.375858e-24,1.661675e-16,7.057680e-05,4.489626e-07,7.660289e-06,2.138653e-14,2.137019e-10,5.937335e-15,4.822585e-14,4.032665e-20,4.791139e-15,1.108392e-13,2.134816e-14,8.512028e-13,9.046157e-21,8.513207e-32,8.231379e-16,5.277750e-14,9.030731e-30,1.005728e-32,5.475982e-52,1.157147e-50
1.174327e-01,1.104694e+03,1.763526e+00,7.529878e-01,3.134279e-21,4.043073e-06,1.553265e-01,7.281462e-09,2.940250e-05,3.560618e-07,2.219340e-06,7.265213e-07,1.763804e-29,7.121901e-05,8.720263e-25,1.391269e-14,4.893155e-27,1.070694e-23,6.006558e-17,5.047773e-23,5.026547e-02,9.529555e-25,4.019640e-25,5.354303e-23,3.205301e-30,5.244210e-26,2.848589e-27,5.965362e-33,1.022010e-24,4.754504e-32,3.667713e-37,6.306484e-36,4.122530e-02,4.484747e-30,1.538267e-24,5.716958e-16,7.966494e-05,4.991702e-07,6.752236e-06,4.027074e-14,3.006958e-10,7.890079e-15,1.232631e-13,1.164776e-19,7.238090e-15,1.238332e-13,2.379040e-14,9.615592e-13,9.134407e-21,6.559351e-31,9.170956e-16,6.526360e-14,1.049626e-29,1.430988e-32,2.840166e-52,9.056928e-51
