Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
8.903975e-03,3.624526e+02,7.889806e-04,7.660402e-01,1.000000e-60,7.670635e-12,2.269926e-01,6.808109e-18,9.927644e-09,7.803773e-11,4.219206e-12,1.618326e-08,4.221117e-36,1.731265e-08,1.713317e-35,4.978507e-27,2.980039e-36,8.516160e-31,1.329692e-26,2.873553e-32,3.819681e-03,1.511095e-34,8.529742e-34,1.682385e-28,9.320870e-36,2.758012e-29,4.446537e-39,8.135800e-46,1.064885e-31,1.000000e-60,1.237883e-40,2.139168e-35,3.127269e-03,1.000000e-60,6.404743e-30,2.653160e-26,1.961677e-05,8.579471e-09,6.340317e-07,2.805542e-22,1.068484e-14,3.237704e-17,2.337869e-25,1.829231e-34,1.817559e-23,3.566993e-19,8.127171e-18,2.495031e-16,1.924771e-27,1.000000e-60,1.301971e-21,3.487828e-16,1.885075e-43,1.000000e-60,1.586068e-53,6.460067e-50
1.775326e-02,4.295475e+02,2.603878e-03,7.649690e-01,1.000000e-60,3.523129e-11,2.211392e-01,7.373437e-17,2.598399e-08,1.557141e-10,1.407444e-11,3.014838e-08,2.239168e-35,3.463515e-08,6.750140e-36,1.028204e-25,2.430328e-35,5.029234e-30,3.539418e-26,5.734208e-32,7.615903e-03,1.000000e-60,5.099779e-33,3.254394e-28,6.989770e-36,5.489331e-29,3.417643e-38,3.173282e-44,2.164460e-31,1.000000e-60,2.975911e-40,2.561005e-35,6.235329e-03,1.000000e-60,1.277015e-29,1.333610e-25,3.911639e-05,1.710625e-08,1.259073e-06,1.179298e-21,2.161918e-14,6.317002e-17,1.145013e-23,2.125135e-32,1.529822e-22,7.112080e-19,1.620443e-17,4.975210e-16,3.518534e-27,7.908451e-36,2.595946e-21,7.015549e-16,4.237345e-42,1.000000e-60,1.390616e-53,9.985710e-50
2.649168e-02,4.947801e+02,5.120335e-03,7.639114e-01,1.000000e-60,1.140304e-10,2.153592e-01,4.142619e-16,4.962028e-08,2.328358e-10,3.566352e-11,4.220496e-08,1.184087e-35,5.193073e-08,5.901058e-34,8.207118e-25,1.656309e-34,1.620523e-29,7.682753e-26,8.576586e-32,1.136456e-02,1.430082e-33,1.267677e-32,4.189774e-28,1.148733e-36,8.293940e-29,1.836202e-37,4.015168e-43,3.332689e-31,1.000000e-60,3.631404e-40,1.879095e-35,9.304444e-03,9.660835e-37,1.905580e-29,3.536141e-25,5.837640e-05,2.552619e-08,1.869054e-06,2.873140e-21,2.945912e-14,8.835121e-17,1.856675e-22,5.480535e-31,7.167754e-22,1.061275e-18,2.418048e-17,7.426047e-16,3.909871e-27,3.182904e-37,3.873709e-21,1.062498e-15,4.177712e-41,1.000000e-60,1.000000e-60,3.971932e-50
3.508308e-02,5.578370e+02,8.169559e-03,7.628715e-01,1.000000e-60,3.097166e-10,2.096764e-01,1.757979e-15,8.276568e-08,3.097335e-10,8.261519e-11,5.274646e-08,2.925091e-35,6.921499e-08,1.000000e-60,4.405784e-24,1.000000e-60,1.000000e-60,1.534980e-25,1.142116e-31,1.505015e-02,1.135969e-33,1.335903e-32,2.864257e-28,5.041690e-34,1.136208e-28,7.797089e-37,2.876849e-42,4.612239e-31,1.000000e-60,9.613071e-42,3.270573e-37,1.232192e-02,4.529603e-36,2.523570e-29,9.852806e-25,7.731869e-05,3.380448e-08,2.459131e-06,5.405523e-21,3.746454e-14,1.034318e-16,1.715557e-21,6.214534e-30,2.444293e-21,1.405455e-18,3.202235e-17,9.840202e-16,2.524774e-27,1.000000e-60,5.129975e-21,1.437077e-15,2.709170e-40,1.000000e-60,1.000000e-60,1.000000e-60
4.352577e-02,6.186953e+02,1.158624e-02,7.618496e-01,1.000000e-60,7.522164e-10,2.040920e-01,6.420688e-15,1.285038e-07,3.875720e-10,1.813058e-10,6.210352e-08,1.317252e-36,8.658962e-08,5.058245e-34,1.919223e-23,6.054561e-36,4.145799e-32,3.015248e-25,1.438360e-31,1.867195e-02,1.797680e-34,1.300043e-32,2.078881e-28,2.271165e-33,1.403085e-28,1.327465e-36,1.396645e-41,6.055856e-31,1.000000e-60,1.000000e-60,1.000000e-60,1.528716e-02,6.733039e-36,3.130858e-29,7.712750e-24,9.594133e-05,4.193948e-08,3.026366e-06,8.820072e-21,5.350263e-14,1.066989e-16,1.133004e-20,4.223365e-29,6.821461e-21,1.743684e-18,3.972848e-17,1.222233e-15,1.241495e-27,1.000000e-60,6.364496e-21,1.828936e-15,1.280692e-39,1.000000e-60,1.000000e-60,1.000000e-60
5.183910e-02,6.775076e+02,1.533501e-02,7.608433e-01,1.000000e-60,1.678672e-09,1.985932e-01,2.135774e-14,1.919881e-07,4.685221e-10,3.795302e-10,7.045304e-08,1.356115e-34,1.042299e-07,5.923270e-33,7.365074e-23,8.943952e-34,4.495778e-29,5.958601e-25,1.745946e-31,2.223825e-02,8.579120e-33,3.089973e-32,4.035612e-28,7.117120e-35,1.511119e-28,7.752740e-36,6.405486e-41,7.749392e-31,1.000000e-60,1.000000e-60,1.000000e-60,1.820696e-02,4.768982e-34,3.728819e-29,7.931334e-23,1.142895e-04,4.994979e-08,3.568227e-06,1.389549e-20,8.786093e-14,1.012599e-16,5.999490e-20,2.048307e-28,1.666202e-20,2.076758e-18,4.731653e-17,1.458655e-15,7.788983e-28,2.848666e-36,7.580101e-21,2.237081e-15,5.713064e-39,1.000000e-60,1.000000e-60,1.000000e-60
6.003872e-02,7.344161e+02,1.932544e-02,7.598509e-01,1.000000e-60,3.455055e-09,1.931695e-01,6.566644e-14,2.814910e-07,5.559742e-10,7.604473e-10,7.773455e-08,1.000000e-60,1.223488e-07,1.956412e-32,2.560931e-22,3.793531e-34,2.231376e-29,1.197991e-24,2.136761e-31,2.575577e-02,2.929128e-33,2.411956e-32,2.867872e-28,8.403437e-35,1.995119e-28,2.092517e-35,2.669187e-40,9.798707e-31,1.000000e-60,1.000000e-60,1.000000e-60,2.108680e-02,6.023111e-34,4.318501e-29,6.302931e-22,1.324013e-04,5.785040e-08,4.080367e-06,2.364229e-20,1.578315e-13,9.320513e-17,2.680756e-19,7.880291e-28,3.710128e-20,2.405358e-18,5.480081e-17,1.695112e-15,6.287581e-28,1.268598e-37,8.779082e-21,2.656800e-15,2.331221e-38,1.000000e-60,1.000000e-60,1.000000e-60
6.812831e-02,7.894961e+02,2.353126e-02,7.588717e-01,1.000000e-60,6.520864e-09,1.878187e-01,1.852619e-13,4.098821e-07,6.551990e-10,1.460498e-09,8.353476e-08,1.000000e-60,1.412023e-07,1.000000e-60,8.074038e-22,1.000000e-60,1.000000e-60,2.483447e-24,2.694014e-31,2.922608e-02,1.000000e-60,7.921079e-33,9.265962e-29,2.721007e-34,2.628184e-28,4.504946e-35,9.092428e-40,1.221707e-30,1.000000e-60,1.000000e-60,1.000000e-60,2.392798e-02,1.000000e-60,4.899945e-29,3.965596e-21,1.502896e-04,6.564446e-08,4.555507e-06,4.603529e-20,2.936281e-13,8.754940e-17,1.027369e-18,2.571368e-27,7.719389e-20,2.729758e-18,6.218468e-17,1.933859e-15,5.868501e-28,1.000000e-60,9.961981e-21,3.084097e-15,7.792120e-38,1.000000e-60,1.000000e-60,1.000000e-60
7.610870e-02,8.428200e+02,2.789256e-02,7.579058e-01,1.000000e-60,1.126154e-08,1.825400e-01,4.741017e-13,5.960624e-07,7.746364e-10,2.682686e-09,8.694589e-08,6.410445e-34,1.611395e-07,2.873323e-33,2.294615e-21,3.955233e-35,7.889601e-31,5.341020e-24,3.853233e-31,3.264955e-02,1.890901e-33,1.000000e-60,1.000000e-60,7.943838e-33,3.370988e-28,1.332220e-34,2.887081e-39,1.489457e-30,1.000000e-60,1.000000e-60,1.000000e-60,2.673078e-02,6.332365e-36,5.472415e-29,2.074289e-20,1.679630e-04,7.333162e-08,4.983633e-06,9.942865e-20,5.441428e-13,8.636267e-17,3.392541e-18,7.430344e-27,1.521328e-19,3.050259e-18,6.946896e-17,2.178178e-15,5.913036e-28,2.007038e-37,1.112893e-20,3.518788e-15,2.321596e-37,1.000000e-60,1.000000e-60,1.000000e-60
8.399322e-02,8.945556e+02,3.237585e-02,7.569514e-01,1.000000e-60,1.796340e-08,1.773247e-01,1.097252e-12,8.662216e-07,9.281513e-10,4.695676e-09,8.651470e-08,6.122327e-34,1.826949e-07,6.163373e-33,5.891303e-21,1.259035e-34,5.623017e-32,1.191709e-23,4.584817e-31,3.603189e-02,2.286651e-32,1.000000e-60,1.000000e-60,1.128883e-34,3.566910e-28,2.276747e-34,7.563320e-39,1.803618e-30,1.000000e-60,1.000000e-60,1.000000e-60,2.949986e-02,1.000000e-60,6.035602e-29,9.242329e-20,1.854594e-04,8.092204e-08,5.352505e-06,2.238732e-19,9.828740e-13,8.975835e-17,9.738559e-18,1.955929e-26,2.858330e-19,3.367915e-18,7.666598e-17,2.433365e-15,6.165955e-28,2.892667e-35,1.228190e-20,3.965035e-15,5.276165e-37,1.000000e-60,1.000000e-60,1.000000e-60
