Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.161463e-02,3.819743e+02,4.181013e-01,7.657208e-01,8.803330e-25,2.129201e-07,2.252793e-01,6.437978e-12,7.436279e-07,7.759817e-07,6.691774e-07,5.946257e-07,2.486795e-31,1.144110e-04,7.091490e-25,3.077408e-17,3.805060e-27,1.355036e-21,2.980946e-15,1.489739e-18,4.802785e-03,1.813060e-25,4.551558e-22,2.346950e-19,1.000000e-60,2.145208e-20,2.006786e-23,3.005653e-30,6.384416e-18,8.778865e-23,1.826364e-29,4.759142e-27,4.071503e-03,1.227131e-29,7.178444e-20,2.163622e-17,5.828517e-06,3.829746e-08,2.401847e-06,5.906532e-16,1.354593e-10,2.369248e-14,3.630756e-19,1.987363e-23,6.673453e-14,1.865559e-10,1.737219e-12,1.349424e-10,8.125664e-15,1.624683e-30,1.287492e-13,3.113944e-13,7.384758e-24,5.287158e-24,1.378630e-39,1.729980e-41
2.289361e-02,4.658334e+02,1.334951e+00,7.643641e-01,1.735225e-24,6.088576e-07,2.178957e-01,6.283084e-11,1.825946e-06,1.529894e-06,1.738648e-06,1.120991e-06,6.676664e-32,2.256973e-04,4.255178e-24,5.551950e-16,4.273052e-26,6.333096e-21,6.389435e-15,2.937224e-18,9.466487e-03,1.406551e-24,2.327559e-21,4.629111e-19,5.846382e-31,4.232375e-20,1.329251e-22,5.776959e-29,1.268428e-17,1.735849e-22,1.695378e-28,9.420210e-27,8.025060e-03,7.253139e-33,1.414969e-19,1.158128e-16,1.172444e-05,7.548807e-08,4.372648e-06,8.194655e-15,3.001497e-10,5.327275e-14,1.828336e-17,2.848396e-21,2.847131e-13,3.677213e-10,3.424235e-12,2.659929e-10,1.558897e-14,5.983605e-32,2.537780e-13,6.152197e-13,9.604531e-23,1.145796e-23,2.731387e-39,4.787054e-41
3.353243e-02,5.433256e+02,2.522098e+00,7.630844e-01,2.541596e-24,1.248866e-06,2.109307e-01,2.989324e-10,3.338327e-06,2.242228e-06,3.197730e-06,1.581050e-06,2.827049e-30,3.309320e-04,1.403168e-23,3.632366e-15,2.203963e-25,1.874576e-20,1.032851e-14,4.305142e-18,1.386508e-02,8.283653e-24,6.066248e-21,6.762193e-19,2.048574e-30,6.213115e-20,4.448601e-22,4.510382e-28,1.880931e-17,2.556359e-22,7.637847e-28,1.390060e-26,1.175385e-02,1.000000e-60,2.072644e-19,3.920610e-16,1.752699e-05,1.105677e-07,5.861632e-06,4.182431e-14,4.963553e-10,8.983331e-14,2.480261e-16,6.844416e-20,7.467380e-13,5.386079e-10,5.015515e-12,3.896328e-10,2.134039e-14,8.174805e-31,3.717139e-13,9.045789e-13,4.914126e-22,1.843563e-23,4.035784e-39,9.446902e-41
4.343082e-02,6.138981e+02,3.848163e+00,7.618937e-01,3.291846e-24,2.198001e-06,2.044498e-01,1.010846e-09,5.388281e-06,2.907720e-06,5.001250e-06,1.981405e-06,2.323172e-29,4.291852e-04,3.558004e-23,1.506953e-14,7.509467e-25,4.169189e-20,1.495074e-14,5.583556e-18,1.795700e-02,3.871502e-23,1.145812e-20,8.698678e-19,2.716518e-29,8.082077e-20,1.105203e-21,2.222502e-27,2.477709e-17,3.338782e-22,2.373781e-27,1.821244e-26,1.522265e-02,6.490211e-32,2.684866e-19,1.029241e-15,2.315793e-05,1.432056e-07,6.890876e-06,1.303151e-13,7.260183e-10,1.342799e-13,1.709811e-15,6.501953e-19,1.516925e-12,6.976130e-10,6.496116e-12,5.047314e-10,2.435385e-14,4.813879e-30,4.814540e-13,1.178149e-12,1.617576e-21,2.622113e-23,5.296202e-39,1.556107e-40
5.268499e-02,6.784778e+02,5.242392e+00,7.607805e-01,3.993268e-24,3.546519e-06,1.983900e-01,2.798665e-09,8.135658e-06,3.534883e-06,7.105198e-06,2.332138e-06,1.371716e-28,5.214680e-04,7.786667e-23,4.839277e-14,1.961645e-24,7.576514e-20,2.050776e-14,6.789052e-18,2.178194e-02,1.458541e-22,1.762218e-20,1.043554e-18,1.986211e-28,9.876458e-20,2.339290e-21,8.341367e-27,3.071793e-17,4.099331e-22,5.880536e-27,2.246254e-26,1.846510e-02,1.196259e-31,3.257966e-19,2.321236e-15,2.864132e-05,1.737187e-07,7.517417e-06,3.064127e-13,9.958054e-10,1.881325e-13,7.914161e-15,3.610398e-18,2.639104e-12,8.462983e-10,7.880574e-12,6.124562e-10,2.420924e-14,2.124069e-29,5.840859e-13,1.440035e-12,4.060986e-21,3.497195e-23,6.544139e-39,2.216255e-40
6.144763e-02,7.383518e+02,6.682533e+00,7.597265e-01,4.657434e-24,5.428841e-06,1.926511e-01,6.804595e-09,1.181912e-05,4.136885e-06,9.463882e-06,2.641405e-06,6.672746e-28,6.093722e-04,1.583229e-22,1.322441e-13,4.308337e-24,1.196349e-19,2.735246e-14,7.947397e-18,2.540290e-02,4.665245e-22,2.355505e-20,1.199147e-18,1.002855e-27,1.165294e-19,4.512594e-21,2.631601e-26,3.681608e-17,4.861973e-22,1.258208e-26,2.680244e-26,2.153457e-02,1.853630e-30,3.802104e-19,4.768162e-15,3.403879e-05,2.026097e-07,7.795766e-06,6.053291e-13,1.316426e-09,2.538355e-13,2.843026e-14,1.439838e-17,4.153696e-12,9.871467e-10,9.192077e-12,7.146507e-10,2.159920e-14,8.052318e-29,6.813452e-13,1.696217e-12,8.433651e-21,4.496562e-23,7.825006e-39,2.732215e-40
6.986146e-02,7.946728e+02,8.160984e+00,7.587144e-01,5.295162e-24,8.040980e-06,1.871396e-01,1.505862e-08,1.678173e-05,4.727515e-06,1.201210e-05,2.913282e-06,2.980234e-27,6.944294e-04,3.232756e-22,3.226093e-13,8.521971e-24,1.726208e-19,3.593119e-14,9.086113e-18,2.887870e-02,1.321045e-21,2.887839e-20,1.339762e-18,3.978444e-27,1.348029e-19,8.238600e-21,7.329401e-26,4.329100e-17,5.655578e-22,2.431312e-26,3.140625e-26,2.448088e-02,2.317005e-29,4.327460e-19,9.221648e-15,3.941196e-05,2.303476e-07,7.770776e-06,1.064983e-12,1.699311e-09,3.349293e-13,8.570132e-14,4.630700e-17,6.107012e-12,1.122507e-09,1.045275e-11,8.130705e-10,1.806935e-14,2.898907e-28,7.748980e-13,1.952980e-12,1.509415e-20,5.655679e-23,9.195274e-39,2.915930e-40
7.804536e-02,8.483715e+02,9.668863e+00,7.577300e-01,5.915461e-24,1.166154e-05,1.817775e-01,3.089097e-08,2.350547e-05,5.320903e-06,1.465199e-05,3.147179e-06,1.347054e-26,7.779902e-04,7.182675e-22,7.201690e-13,1.606751e-23,2.370669e-19,4.676494e-14,1.023450e-17,3.225821e-02,3.397840e-21,3.400424e-20,1.469758e-18,1.341590e-26,1.544469e-19,1.456777e-20,1.841610e-25,5.041273e-17,6.516249e-22,4.343349e-26,3.646414e-26,2.734540e-02,2.772377e-28,4.843916e-19,1.711465e-14,4.481046e-05,2.573208e-07,7.482393e-06,1.725929e-12,2.152806e-09,4.362801e-13,2.264001e-13,1.286936e-16,8.557481e-12,1.254387e-09,1.168205e-11,9.092360e-10,1.499005e-14,1.082669e-27,8.662183e-13,2.216792e-12,2.378091e-20,7.015477e-23,1.072908e-38,2.770829e-40
8.608895e-02,9.001375e+02,1.120621e+01,7.567625e-01,6.525127e-24,1.667094e-05,1.765057e-01,5.933695e-08,3.264688e-05,5.932073e-06,1.724929e-05,3.337250e-06,6.427712e-26,8.611902e-04,1.792709e-21,1.491516e-12,3.029644e-23,3.187064e-19,6.039029e-14,1.142576e-17,3.557810e-02,8.052409e-21,3.965927e-20,1.594917e-18,4.042420e-26,1.766102e-19,2.531662e-20,4.214554e-25,5.853014e-17,7.492136e-22,7.258601e-26,4.216710e-26,3.015914e-02,2.603892e-27,5.361642e-19,3.081687e-14,5.026403e-05,2.838178e-07,6.972515e-06,2.631195e-12,2.678349e-09,5.642437e-13,5.377530e-13,3.224643e-16,1.157901e-11,1.384403e-09,1.289676e-11,1.004391e-09,1.288446e-14,4.354475e-27,9.565785e-13,2.494447e-12,3.341226e-20,8.621780e-23,1.253115e-38,2.510077e-40
