Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.433615e-02,4.037984e+02,3.604999e-03,7.653864e-01,4.558040e-23,9.288453e-11,2.234038e-01,2.058903e-16,3.560073e-08,3.523383e-10,4.357252e-11,4.386144e-08,6.541322e-34,8.148916e-08,1.000000e-60,6.890555e-25,1.000000e-60,1.000000e-60,4.945337e-25,7.835494e-29,6.149924e-03,6.258578e-34,1.454270e-31,7.651972e-27,1.352656e-34,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,5.035144e-03,1.000000e-60,9.130316e-30,6.820548e-25,2.342781e-05,1.827798e-08,1.139817e-06,2.767537e-21,6.827892e-14,8.910450e-17,1.905742e-23,3.551479e-32,7.788054e-22,2.523002e-18,2.678945e-17,1.671586e-15,5.613742e-26,3.453459e-35,4.449960e-21,8.383643e-16,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
2.835894e-02,5.086526e+02,1.146707e-02,7.636928e-01,9.016450e-23,5.928002e-10,2.141326e-01,3.647370e-15,1.028380e-07,6.987943e-10,1.882224e-10,7.743931e-08,1.000000e-60,1.623211e-07,1.000000e-60,2.232304e-23,1.071488e-32,6.951750e-28,1.768310e-24,1.555976e-28,1.216542e-02,6.932383e-32,1.043503e-30,1.802234e-26,5.961764e-34,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,9.960218e-03,2.799240e-33,1.806106e-29,3.675341e-24,4.636129e-05,3.615644e-08,2.227499e-06,1.435025e-20,1.339341e-13,1.678890e-16,1.974211e-21,7.928158e-30,9.860064e-21,4.990859e-18,5.299334e-17,3.307739e-15,8.326827e-26,4.411219e-35,8.802653e-21,1.693921e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
4.175561e-02,6.061297e+02,2.165649e-02,7.620748e-01,1.327579e-22,2.354297e-09,2.052754e-01,3.028980e-14,2.115093e-07,1.037985e-09,6.225511e-10,1.035328e-07,1.986821e-33,2.415557e-07,4.295355e-33,2.549633e-22,2.161104e-33,1.387014e-28,4.861547e-24,2.309646e-28,1.791232e-02,4.274783e-33,1.139937e-30,1.137522e-26,1.969521e-33,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.466536e-02,1.225314e-34,2.659307e-29,1.913480e-23,6.829702e-05,5.323661e-08,3.226383e-06,4.179684e-20,2.080833e-13,2.119648e-16,4.779084e-20,2.305769e-28,5.610702e-20,7.348553e-18,7.802722e-17,4.876019e-15,3.799741e-26,3.274725e-34,1.296100e-20,2.588813e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
5.440637e-02,6.955691e+02,3.310060e-02,7.605469e-01,1.729798e-22,7.017790e-09,1.969113e-01,1.717329e-13,3.798347e-07,1.380727e-09,1.787482e-09,1.241292e-07,2.612220e-33,3.194522e-07,1.000000e-60,1.792530e-21,6.232512e-34,2.263727e-29,1.281407e-23,3.067724e-28,2.333924e-02,2.904832e-31,6.514170e-31,5.128849e-27,1.827519e-33,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.910850e-02,1.229500e-32,3.465025e-29,3.868195e-22,8.904755e-05,6.936570e-08,4.114232e-06,1.079169e-19,3.871714e-13,2.170805e-16,5.471039e-19,2.458468e-27,2.112921e-19,9.575214e-18,1.016673e-16,6.371373e-15,1.767474e-26,1.000000e-60,1.688782e-20,3.532382e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
6.640754e-02,7.780196e+02,4.522996e-02,7.590975e-01,2.111363e-22,1.667958e-08,1.889767e-01,7.387979e-13,6.439297e-07,1.754490e-09,4.507964e-09,1.396358e-07,1.000000e-60,3.977998e-07,1.000000e-60,9.124570e-21,1.000000e-60,1.000000e-60,3.347229e-23,3.932719e-28,2.848749e-02,1.000000e-60,5.876072e-31,4.413446e-27,1.656145e-31,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.332344e-02,5.682816e-34,4.229507e-29,6.205436e-21,1.087827e-04,8.466581e-08,4.879625e-06,3.058332e-19,8.109462e-13,2.077735e-16,3.858835e-18,1.515570e-26,6.253516e-19,1.168867e-17,1.240936e-16,7.820872e-15,1.278328e-26,4.589624e-36,2.061305e-20,4.513265e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
7.793568e-02,8.550701e+02,5.788524e-02,7.577051e-01,2.477890e-22,3.295652e-08,1.813547e-01,2.517627e-12,1.068540e-06,2.209657e-09,1.002930e-08,1.481101e-07,1.435519e-32,4.795525e-07,2.339613e-31,3.601391e-20,4.433383e-32,1.016295e-27,8.907955e-23,5.087068e-28,3.343281e-02,1.902164e-31,1.193353e-30,8.657443e-27,1.058522e-32,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,2.737216e-02,1.000000e-60,4.964552e-29,6.280565e-20,1.278116e-04,9.935882e-08,5.505157e-06,9.197254e-19,1.713830e-12,2.070010e-16,1.900826e-17,6.802209e-26,1.582051e-18,1.372256e-17,1.456368e-16,9.272030e-15,1.131824e-26,1.000000e-60,2.419161e-20,5.529139e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
8.917280e-02,9.282651e+02,7.084645e-02,7.563480e-01,2.835163e-22,5.702607e-08,1.739252e-01,7.052083e-12,1.756755e-06,2.838021e-09,1.977580e-08,1.446320e-07,2.642668e-33,5.690450e-07,3.291009e-31,1.162571e-19,1.118642e-31,1.661562e-27,2.427504e-22,5.701400e-28,3.825327e-02,2.459720e-31,1.338215e-30,9.234291e-27,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,3.131853e-02,4.321894e-32,5.684140e-29,4.500800e-19,1.464626e-04,1.136667e-07,5.957620e-06,2.683261e-18,3.451268e-12,2.228791e-16,7.099641e-17,2.504930e-25,3.551885e-18,1.571513e-17,1.666393e-16,1.079157e-14,1.086443e-26,1.000000e-60,2.768027e-20,6.604515e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.002705e-01,9.988706e+02,8.419743e-02,7.550076e-01,3.188002e-22,9.121932e-08,1.665877e-01,1.693156e-11,2.859514e-06,3.808877e-09,3.479329e-08,1.238293e-07,1.000000e-60,6.728612e-07,1.681577e-33,3.249570e-19,1.116914e-32,2.671496e-28,6.789041e-22,3.872256e-28,4.301388e-02,4.397267e-32,6.121634e-31,3.889949e-27,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,3.521570e-02,4.675910e-34,6.406851e-29,2.505814e-18,1.650239e-04,1.277580e-07,6.187296e-06,7.375336e-18,6.478546e-12,2.569156e-16,2.152073e-16,8.052040e-25,7.200856e-18,1.770672e-17,1.873907e-16,1.247250e-14,1.079883e-26,1.000000e-60,3.112678e-20,7.789595e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.113271e-01,1.067741e+03,9.795030e-02,7.536723e-01,3.539538e-22,1.402035e-07,1.592771e-01,3.628641e-11,4.584613e-06,5.424445e-09,5.492623e-08,8.955785e-08,3.224548e-32,8.013352e-07,9.385005e-31,8.316564e-19,2.112511e-35,1.000000e-60,1.949799e-21,1.900037e-28,4.775687e-02,1.034980e-30,1.692955e-31,6.391776e-28,2.746282e-31,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,3.909814e-02,2.518273e-32,7.163774e-29,1.162995e-17,1.836955e-04,1.417065e-07,6.141780e-06,1.925948e-17,1.123507e-11,3.115553e-16,5.599419e-16,2.334879e-24,1.336644e-17,1.974294e-17,2.080909e-16,1.444433e-14,1.099408e-26,1.898309e-33,3.456308e-20,9.164829e-15,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
