Z,T,chi,N2,AR,O,O2,H,OH,H2,HO2,H2O2,CH,CO,CH2,HCO,CH2(S),CH3,CH2O,CH4,CO2,CH2OH,CH3O,CH3OH,C2H,C2H2,HCCO,C2H3,CH2CO,C2H4,C2H5,C2H6,H2O,C,HCCOH,N,NO,N2O,NO2,NH,HNO,NH2,NNH,CN,NCO,HCN,HOCN,HNCO,H2CN,HCNN,HCNO,NH3,CH2CHO,CH3CHO,C3H8,C3H7
0.000000e+00,2.940000e+02,0.000000e+00,7.671179e-01,1.000000e-60,1.000000e-60,2.328821e-01,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60,1.000000e-60
1.231616e-02,3.790871e+02,4.183575e+00,7.656394e-01,1.000000e-60,3.229000e-06,2.252877e-01,3.832950e-10,3.886169e-06,8.020162e-06,7.719494e-06,2.337159e-06,9.447506e-22,8.502828e-04,6.632862e-15,9.014766e-14,2.495191e-16,1.706861e-11,2.642076e-09,4.968177e-08,3.947296e-03,5.666073e-15,4.548536e-11,1.508306e-09,5.088693e-24,1.061476e-10,2.784250e-14,2.231251e-17,1.657707e-09,1.797585e-10,6.172738e-15,5.709167e-13,4.248514e-03,3.052643e-28,2.274958e-12,1.442423e-13,1.097382e-06,1.760905e-08,3.387443e-07,2.452736e-13,1.877517e-10,1.714022e-12,2.017591e-17,1.947756e-20,4.594320e-11,3.920890e-08,3.735122e-11,7.619887e-09,3.985221e-11,7.499226e-22,1.167731e-10,4.040603e-11,2.207510e-13,1.068509e-11,7.658546e-17,4.616952e-19
2.442258e-02,4.611029e+02,1.348353e+01,7.641862e-01,1.000000e-60,8.305545e-06,2.178185e-01,3.831803e-09,1.011415e-05,1.590575e-05,1.783071e-05,4.347354e-06,7.659015e-20,1.686893e-03,5.052768e-14,7.162851e-13,2.563390e-15,6.882334e-11,5.433538e-09,9.853284e-08,7.826102e-03,3.129850e-14,1.185818e-10,2.976524e-09,1.302504e-21,2.108166e-10,1.982646e-13,3.246492e-16,3.308508e-09,3.582653e-10,3.112028e-14,1.134834e-12,8.422819e-03,2.175178e-25,4.511736e-12,3.669081e-13,2.238212e-06,3.491701e-08,5.763401e-07,1.511481e-12,4.361927e-10,4.260612e-12,1.033663e-15,2.919377e-18,1.087799e-10,7.775081e-08,7.406656e-11,1.511023e-08,7.839963e-11,3.671862e-20,2.315594e-10,8.023487e-11,2.108687e-12,2.249151e-11,1.523240e-16,1.379830e-18
3.610044e-02,5.384953e+02,2.578786e+01,7.627844e-01,1.000000e-60,1.589078e-05,2.106086e-01,1.983019e-08,1.933108e-05,2.351927e-05,3.011634e-05,6.041292e-06,1.699197e-18,2.495178e-03,2.074645e-13,3.407754e-12,1.233109e-14,1.817106e-10,8.406835e-09,1.457092e-07,1.156557e-02,1.027437e-13,2.079031e-10,4.357625e-09,5.247613e-20,3.127138e-10,7.101475e-13,2.005760e-15,4.943641e-09,5.338718e-10,1.006694e-13,1.684955e-12,1.244692e-02,2.349871e-23,6.672003e-12,7.553951e-13,3.397560e-06,5.161098e-08,7.150631e-07,4.991545e-12,7.555956e-10,7.958919e-12,1.554782e-14,7.694321e-17,1.931279e-10,1.149310e-07,1.094843e-10,2.233631e-08,1.135421e-10,5.298460e-19,3.423004e-10,1.188894e-10,8.141116e-12,3.542999e-11,2.264006e-16,2.894832e-18
4.720506e-02,6.103661e+02,3.981295e+01,7.614514e-01,1.000000e-60,2.668586e-05,2.037473e-01,7.400169e-08,3.218780e-05,3.077538e-05,4.377003e-05,7.436162e-06,1.979965e-17,3.265607e-03,6.279693e-13,1.266633e-11,4.079092e-14,3.805077e-10,1.159361e-08,1.907022e-07,1.511861e-02,2.695581e-13,2.997534e-10,5.613904e-09,7.711643e-19,4.115970e-10,1.869583e-12,8.096897e-15,6.569032e-09,7.064585e-10,2.481971e-13,2.218727e-12,1.627040e-02,9.889424e-22,8.734611e-12,1.473133e-12,4.552743e-06,6.748410e-08,7.659306e-07,1.232777e-11,1.144838e-09,1.317759e-11,1.211170e-13,8.008179e-16,3.027922e-10,1.502933e-07,1.431757e-10,2.921006e-08,1.425650e-10,4.307482e-18,4.476901e-10,1.560519e-10,2.035093e-11,4.953524e-11,2.986665e-16,5.087546e-18
5.771079e-02,6.767015e+02,5.484052e+01,7.601902e-01,1.000000e-60,4.150547e-05,1.972510e-01,2.163561e-07,4.934524e-05,3.766826e-05,5.745173e-05,8.557281e-06,1.477967e-16,3.996872e-03,1.561731e-12,3.858232e-11,1.072282e-13,6.861166e-10,1.504304e-08,2.335250e-07,1.847628e-02,6.163004e-13,3.786575e-10,6.726266e-09,6.081754e-18,5.087248e-10,4.125443e-12,2.508302e-14,8.212105e-09,8.781926e-10,4.941250e-13,2.737988e-12,1.988385e-02,2.123068e-20,1.070727e-11,2.796010e-12,5.689089e-06,8.249936e-08,7.472244e-07,2.548363e-11,1.588619e-09,2.037501e-11,6.026554e-13,4.733757e-15,4.412370e-10,1.837635e-07,1.750969e-10,3.571794e-08,1.625492e-10,2.378608e-17,5.476695e-10,1.918267e-10,3.888891e-11,6.494261e-11,3.699088e-16,7.961626e-18
6.768880e-02,7.381323e+02,7.027792e+01,7.589925e-01,1.000000e-60,6.135948e-05,1.910765e-01,5.185075e-07,7.146263e-05,4.425465e-05,6.970955e-05,9.431725e-06,7.862527e-16,4.694415e-03,3.382810e-12,9.838517e-11,2.416196e-13,1.118706e-09,1.882930e-08,2.746299e-07,2.166056e-02,1.278538e-12,4.327912e-10,7.691210e-09,3.195082e-17,6.067996e-10,8.135903e-12,6.482513e-14,9.921062e-09,1.053493e-09,8.305922e-13,3.244900e-12,2.331117e-02,2.691232e-19,1.262694e-11,5.157114e-12,6.799892e-06,9.675749e-08,6.809135e-07,4.664342e-11,2.059594e-09,3.011439e-11,2.156406e-12,1.938771e-14,6.125489e-10,2.155796e-07,2.055527e-10,4.190763e-08,1.713811e-10,9.802807e-17,6.433116e-10,2.266764e-10,6.196879e-11,8.193407e-11,4.417951e-16,1.142404e-17
7.726442e-02,7.955909e+02,8.614355e+01,7.578430e-01,1.000000e-60,8.756396e-05,1.851469e-01,1.065607e-06,9.925987e-05,5.062571e-05,7.945854e-05,1.008030e-05,3.246216e-15,5.367570e-03,6.636578e-12,2.167644e-10,4.891950e-13,1.703840e-09,2.305898e-08,3.147582e-07,2.471054e-02,2.468562e-12,4.583018e-10,8.513872e-09,1.276972e-16,7.099400e-10,1.489054e-11,1.475852e-13,1.176365e-08,1.239000e-09,1.230862e-12,3.738157e-12,2.659469e-02,2.287322e-18,1.455771e-11,9.213040e-12,7.884827e-06,1.104351e-07,5.880560e-07,7.830306e-11,2.526815e-09,4.307738e-11,6.066875e-12,6.199541e-14,8.227492e-10,2.461573e-07,2.351108e-10,4.786239e-08,1.688374e-10,3.247960e-16,7.365252e-10,2.613097e-10,8.714306e-11,1.009988e-10,5.168773e-16,1.528981e-17
8.656234e-02,8.499469e+02,1.022862e+02,7.567269e-01,1.000000e-60,1.217211e-04,1.793852e-01,1.949434e-06,1.335192e-04,5.687377e-05,8.614582e-05,1.051349e-05,1.109686e-14,6.025837e-03,1.211406e-11,4.257948e-10,9.176946e-13,2.476450e-09,2.786830e-08,3.547526e-07,2.766478e-02,4.510187e-12,4.592580e-10,9.202076e-09,4.222412e-16,8.237096e-10,2.588244e-11,3.074882e-13,1.382426e-08,1.443463e-09,1.666450e-12,4.211397e-12,2.977630e-02,1.440523e-17,1.658835e-11,1.591941e-11,8.945787e-06,1.237055e-07,4.861739e-07,1.233565e-10,2.962630e-09,6.002573e-11,1.431103e-11,1.666226e-13,1.080083e-09,2.759192e-07,2.644891e-10,5.366845e-08,1.569237e-10,9.152458e-16,8.296495e-10,2.965275e-10,1.123500e-10,1.228537e-10,5.986480e-16,1.934902e-17
9.567644e-02,9.018349e+02,1.186576e+02,7.556328e-01,1.000000e-60,1.656079e-04,1.737329e-01,3.262601e-06,1.750862e-04,6.307787e-05,8.971461e-05,1.073297e-05,3.289693e-14,6.676820e-03,2.096272e-11,7.645975e-10,1.628669e-12,3.483784e-09,3.342543e-08,3.954834e-07,3.055160e-02,7.879926e-12,4.443013e-10,9.765212e-09,1.219615e-15,9.555896e-10,4.334253e-11,6.024011e-13,1.620555e-08,1.678192e-09,2.117384e-12,4.655662e-12,3.288699e-02,7.228150e-17,1.883765e-11,2.661676e-11,9.984348e-06,1.366936e-07,3.881602e-07,1.851368e-10,3.347230e-09,8.174910e-11,2.957533e-11,3.943687e-13,1.394825e-09,3.052045e-07,2.945194e-10,5.939791e-08,1.392388e-10,2.283661e-15,9.252943e-10,3.331473e-10,1.363420e-10,1.484960e-10,6.919336e-16,2.353959e-17
